no,open_date,close_date,is_short,open_rate,close_rate,stake_amount,amount,profit_abs,profit_ratio,funding_fees,exit_reason,enter_tag,leverage
1,2020-01-01 04:00:00+00:00,2020-01-25 04:00:00+00:00,False,7221.8,8299.6,4946.933,0.685,666.82848774,0.13472898058654523,-66.14843276376195,exit_signal,PORTEUR,1.0
2,2020-01-28 04:00:00+00:00,2020-01-30 04:00:00+00:00,False,9124.53,9288.05,5273.97834,0.578,69.3812797,0.013148822753185898,-19.812044680225668,exit_signal,PORTEUR,1.0
3,2020-02-04 04:00:00+00:00,2020-02-06 04:00:00+00:00,True,9293.8,9644.1,5306.7598,0.571,-187.62967036,-0.03537441663104161,17.798400090156484,exit_signal,HOSTILE,1.0
4,2020-02-07 04:00:00+00:00,2020-02-08 04:00:00+00:00,True,9788.15,9726.99,5217.08395,0.533,32.3250663,0.006199102262569348,4.927571108328679,exit_signal,HOSTILE,1.0
5,2020-02-10 04:00:00+00:00,2020-02-11 04:00:00+00:00,True,10106.31,9749.25,5235.06858,0.518,193.51868488,0.03698432783975356,13.704194924504437,exit_signal,HOSTILE,1.0
6,2020-02-21 04:00:00+00:00,2020-02-23 04:00:00+00:00,True,9709.86,9793.8,5330.71314,0.549,-47.09501075,-0.008839074397279894,4.341803918016013,exit_signal,HOSTILE,1.0
7,2020-04-16 04:00:00+00:00,2020-04-24 04:00:00+00:00,False,6645.84,7523.0,5310.02616,0.799,704.847822,0.13267271252254875,9.65743358146665,exit_signal,PORTEUR,1.0
8,2020-04-28 04:00:00+00:00,2020-04-29 04:00:00+00:00,False,7702.54,7813.98,5653.66436,0.734,74.402218,0.013153422408375666,-1.700179160269092,exit_signal,PORTEUR,1.0
9,2020-04-30 04:00:00+00:00,2020-05-12 04:00:00+00:00,False,9306.03,8712.68,5695.29036,0.612,-412.10300827,-0.0723223986318636,-43.45908300901776,exit_signal,PORTEUR,1.0
10,2020-05-14 04:00:00+00:00,2020-05-16 04:00:00+00:00,False,9347.28,9401.54,5486.85336,0.587,23.28958545,0.004242494732310764,-3.0582558800382023,exit_signal,PORTEUR,1.0
11,2020-05-19 04:00:00+00:00,2020-05-26 04:00:00+00:00,False,9526.02,8900.01,5496.51354,0.577,-370.97389716,-0.067458853727948,-4.450217504378849,exit_signal,PORTEUR,1.0
12,2020-05-27 04:00:00+00:00,2020-06-27 04:00:00+00:00,False,8825.33,9161.0,5312.84866,0.602,157.04834809,0.029545329295794544,-39.61110657559543,exit_signal,PORTEUR,1.0
13,2020-07-17 04:00:00+00:00,2020-09-08 04:00:00+00:00,False,9117.85,10306.49,5388.64935,0.591,410.95263834,0.07622453012416668,-285.7937091909189,exit_signal,PORTEUR,1.0
14,2020-09-09 04:00:00+00:00,2020-09-23 04:00:00+00:00,False,10028.25,10470.87,5595.7635,0.558,235.20371152,0.04201145535113879,-6.058994004422709,exit_signal,PORTEUR,1.0
15,2020-10-07 04:00:00+00:00,2020-10-08 04:00:00+00:00,False,10571.35,10634.23,5708.529,0.54,28.03471513,0.0049085683505525135,-0.19497826690246467,exit_signal,PORTEUR,1.0
16,2020-10-09 04:00:00+00:00,2020-10-16 04:00:00+00:00,False,10881.55,11507.1,5723.6953,0.526,310.61466421,0.05424108346451525,-12.53642084294587,exit_signal,PORTEUR,1.0
17,2020-10-17 04:00:00+00:00,2020-11-29 04:00:00+00:00,False,11358.71,17870.01,5883.81178,0.518,3178.51412256,0.5399434547734862,-186.76903895744056,exit_signal,PORTEUR,1.0
18,2020-11-30 04:00:00+00:00,2021-01-04 04:00:00+00:00,False,18575.24,33562.23,7448.67124,0.401,5692.07297563,0.7637910411319583,-307.25645163433126,exit_signal,PORTEUR,1.0
19,2021-01-05 04:00:00+00:00,2021-01-08 04:00:00+00:00,False,31218.96,38374.72,10271.03784,0.329,2206.09360554,0.21468045822962403,-136.703274099174,exit_signal,PORTEUR,1.0
20,2021-01-09 04:00:00+00:00,2021-01-12 04:00:00+00:00,False,40275.84,35019.09,11357.78688,0.282,-1579.04513795,-0.13895805816925377,-86.02505281818111,exit_signal,PORTEUR,1.0
21,2021-01-14 04:00:00+00:00,2021-01-16 04:00:00+00:00,False,37107.37,36566.05,10575.60045,0.285,-206.76927034,-0.0195417686540261,-41.994607992558386,exit_signal,PORTEUR,1.0
22,2021-01-27 04:00:00+00:00,2021-02-01 04:00:00+00:00,False,31817.42,33600.37,10467.93118,0.329,509.39783291,0.04863838446436561,-66.43149063762348,exit_signal,PORTEUR,1.0
23,2021-03-03 04:00:00+00:00,2021-03-06 04:00:00+00:00,False,48728.07,48676.99,10720.1754,0.22,-35.60555091,-0.003319699137710401,-13.653394310159673,exit_signal,PORTEUR,1.0
24,2021-04-06 04:00:00+00:00,2021-04-08 04:00:00+00:00,False,58681.44,56590.01,10680.02208,0.182,-427.54327048,-0.04001205264148306,-36.41330852899311,exit_signal,PORTEUR,1.0
25,2021-04-20 04:00:00+00:00,2021-05-17 04:00:00+00:00,False,54552.0,42991.01,10473.984,0.192,-2474.3052843,-0.23611538359472745,-245.2310753412223,exit_signal,PORTEUR,1.0
26,2021-05-18 04:00:00+00:00,2021-05-19 04:00:00+00:00,False,44819.76,40638.04,9277.69032,0.207,-878.66579075,-0.09466005515597922,-4.2048684519687,exit_signal,PORTEUR,1.0
27,2021-05-26 04:00:00+00:00,2021-05-27 04:00:00+00:00,False,39495.04,37633.3,8846.88896,0.224,-428.32146534,-0.04839072961917031,-2.653331262356768,exit_signal,PORTEUR,1.0
28,2021-05-28 04:00:00+00:00,2021-05-29 04:00:00+00:00,False,38225.24,36470.04,8600.679,0.225,-405.78445592,-0.04715693552653882,-2.461236918996375,exit_signal,PORTEUR,1.0
29,2021-06-05 04:00:00+00:00,2021-06-06 04:00:00+00:00,False,37414.24,35992.23,8418.204,0.225,-330.67178349,-0.0392609314557936,-2.4613056154359,exit_signal,PORTEUR,1.0
30,2021-07-30 04:00:00+00:00,2021-08-05 04:00:00+00:00,False,39951.21,39450.0,8269.90047,0.207,-125.14324604,-0.015124813912924443,-13.174750808715086,exit_signal,PORTEUR,1.0
31,2021-08-09 04:00:00+00:00,2021-08-10 04:00:00+00:00,False,43486.16,45728.39,8175.39808,0.188,410.59745769,0.050198443860879294,-2.555614611217008,exit_signal,PORTEUR,1.0
32,2021-08-11 04:00:00+00:00,2021-08-20 04:00:00+00:00,False,45588.4,47092.39,8388.2656,0.184,245.02443916,0.0291957837107491,-23.18308816013601,exit_signal,PORTEUR,1.0
33,2021-08-25 04:00:00+00:00,2021-08-27 04:00:00+00:00,False,48005.02,46845.71,8496.88854,0.177,-219.64897395,-0.025837599647720703,-6.056814340949079,exit_signal,PORTEUR,1.0
34,2021-09-01 04:00:00+00:00,2021-09-12 04:00:00+00:00,False,47086.6,45327.95,8381.4148,0.178,-376.80311736,-0.04493451510776229,-55.53852240671286,exit_signal,PORTEUR,1.0
35,2021-09-16 04:00:00+00:00,2021-09-22 04:00:00+00:00,False,47614.56,42045.66,8237.31888,0.173,-985.60027072,-0.11959081968447108,-14.42496169047753,exit_signal,PORTEUR,1.0
36,2021-10-12 04:00:00+00:00,2021-10-13 04:00:00+00:00,False,56743.25,56275.51,7717.082,0.136,-73.606063,-0.009533302660360432,-2.308147317125336,exit_signal,PORTEUR,1.0
