no,open_date,close_date,is_short,open_rate,close_rate,stake_amount,amount,profit_abs,profit_ratio,funding_fees,exit_reason,enter_tag,leverage
1,2020-01-01 04:00:00+00:00,2020-02-04 04:00:00+00:00,False,7221.8,9293.8,4946.933,0.685,1270.32381308,0.2566618485828901,-143.33959391866784,exit_signal,PORTEUR,1.0
2,2020-02-04 04:00:00+00:00,2020-04-16 04:00:00+00:00,True,9293.8,6645.84,5576.28,0.6,1815.59324203,0.32575507197923853,231.5991340257886,exit_signal,HOSTILE,1.0
3,2020-04-16 04:00:00+00:00,2022-04-15 04:00:00+00:00,False,6645.84,40180.0,6473.04816,0.974,15446.16565081,2.3850350014383643,-17193.30200511183,exit_signal,PORTEUR,1.0
4,2022-04-15 04:00:00+00:00,2023-07-11 04:00:00+00:00,True,40180.0,30460.9,14103.18,0.351,3958.82601737,0.2808449172867602,559.8193953163548,exit_signal,HOSTILE,1.0
5,2023-07-11 04:00:00+00:00,2023-08-09 04:00:00+00:00,False,30460.9,29710.0,16052.8943,0.527,-501.26133121,-0.031209999669474024,-89.68199905531083,exit_signal,PORTEUR,1.0
6,2023-08-09 04:00:00+00:00,2023-11-03 04:00:00+00:00,True,29710.0,34680.1,15805.72,0.532,-2524.21419095,-0.15978246669020504,137.00677565071143,exit_signal,HOSTILE,1.0
7,2023-11-03 04:00:00+00:00,2025-11-20 04:00:00+00:00,False,34680.1,92404.7,14565.642,0.42,18273.66519095,1.2539463021600938,-5943.979001052366,exit_signal,PORTEUR,1.0
8,2025-11-20 04:00:00+00:00,2025-12-04 04:00:00+00:00,True,92404.7,93500.0,23563.1985,0.255,-281.37920211,-0.0119474426229124,21.625147135878525,exit_signal,HOSTILE,1.0
9,2025-12-04 04:00:00+00:00,2026-04-07 04:00:00+00:00,False,93500.0,68746.4,23468.5,0.251,-6405.82807163,-0.2728178945501789,-172.3125484323582,exit_signal,PORTEUR,1.0
10,2026-04-07 04:00:00+00:00,2026-04-19 04:00:00+00:00,True,68746.4,75472.9,20280.188,0.295,-2024.14842762,-0.09985908454714829,-18.558580874117457,exit_signal,HOSTILE,1.0
11,2026-04-19 04:00:00+00:00,2026-06-04 04:00:00+00:00,False,75472.9,64336.2,19245.5895,0.255,-2891.60863092,-0.150172773307122,-33.92447066873714,exit_signal,PORTEUR,1.0
12,2026-06-04 04:00:00+00:00,2026-07-13 00:00:00+00:00,True,64336.2,63749.9,17885.4636,0.278,211.6537954,0.011839764401612649,66.46636329597644,force_exit,HOSTILE,1.0
