policy,n,expectancy_r,median_r,total_r,win_pct,p25_r,p75_r,p90_r,max_r,avg_bars,stops_pct,tp1_pct
HOLD_sl_seul,41,7.07607246016757,-1.0,290.11897086687037,9.75609756097561,-1.0,-1.0,-1.0,128.4653500106982,234.90243902439025,90.2439024390244,43.90243902439025
A_tp_fixe_1.5R,41,0.0975609756097561,-1.0,4.0,43.90243902439025,-1.0,1.5,1.5,1.5,4.7317073170731705,56.09756097560976,43.90243902439025
A_fixe+ts24,41,0.05130909655783684,-1.0,2.1036729588713103,41.46341463414634,-1.0,1.5,1.5,1.5,4.073170731707317,56.09756097560976,41.46341463414634
TP1+BE+trail5atr,41,0.05044274604300536,-1.0,2.06815258776322,43.90243902439025,-1.0,0.8,1.323461956689425,5.866268228838095,15.682926829268293,100.0,43.90243902439025
TP1+giveback50+BE,41,0.03901171442652955,-1.0,1.5994802914877115,43.90243902439025,-1.0,0.8,1.6554687684525555,4.775169850474615,25.951219512195124,82.92682926829268,43.90243902439025
B_proxy_G1G3G4G7,41,0.029863563694379217,-1.0,1.224406111469548,43.90243902439025,-1.0,1.0878029686654365,1.7914169327283367,3.095971934263816,7.121951219512195,97.5609756097561,39.02439024390244
TP1+trail_chand_3atr,41,0.015987696538266344,-1.0,0.6554955580689201,43.90243902439025,-1.0,0.8279745482330907,1.5314194767213178,5.319283253004384,11.21951219512195,100.0,43.90243902439025
TP1+giveback_50pct,41,0.006407545761596287,-1.0,0.26270937622544777,43.90243902439025,-1.0,0.25,1.724170842579399,4.775169850474615,30.073170731707318,75.60975609756098,43.90243902439025
TP1+giveback_33pct,41,-0.006475856041923675,-1.0,-0.2655100977188707,43.90243902439025,-1.0,0.25,2.0174973730695545,3.7838503007392505,16.682926829268293,75.60975609756098,43.90243902439025
TP1+trail_chand_5atr,41,-0.05089233721151551,-1.0,-2.086585825672136,43.90243902439025,-1.0,0.25,1.323461956689425,5.866268228838095,15.902439024390244,100.0,43.90243902439025
TP1+trail5atr+ts48,41,-0.05089233721151551,-1.0,-2.086585825672136,43.90243902439025,-1.0,0.25,1.323461956689425,5.866268228838095,15.902439024390244,100.0,43.90243902439025
TP1+trail_chand_8atr,41,-0.19302149673086744,-1.0,-7.913881365965565,43.90243902439025,-1.0,0.25,0.4849298244955045,5.529073899417692,19.609756097560975,100.0,43.90243902439025
