,A_tp_fixe_1.5R,HOLD_sl_seul,B_proxy_G1G3G4G7,TP1+trail_chand_3atr,TP1+trail_chand_5atr,TP1+trail_chand_8atr,TP1+giveback_33pct,TP1+giveback_50pct,TP1+BE+trail5atr,TP1+trail5atr+ts48,A_fixe+ts24,TP1+giveback50+BE
ETH/USDT-1666886400000,-1.0,-1.0,0.1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
ETH/USDT-1673136000000,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
ETH/USDT-1673222400000,1.5,18.62523578379591,1.346116704949463,1.1879372932678103,1.308015529384442,4.706259378028561,4.831469366229105,3.953999292966697,1.308015529384442,1.308015529384442,1.5,3.953999292966697
ETH/USDT-1673337600000,1.5,56.751603529287976,0.1,1.0655165983741188,0.7714472747578383,11.548249729133287,3.804424207237842,10.387453742151802,0.8,0.7714472747578383,1.5,0.8
ETH/USDT-1673452800000,1.5,63.65788686012603,4.492362437195985,3.9140085319084577,11.493162461789655,11.76790366400193,3.873126486686454,10.584480091294973,11.493162461789655,11.493162461789655,1.5,10.584480091294973
ETH/USDT-1679284800000,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
ETH/USDT-1696262400000,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
ETH/USDT-1698336000000,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
ETH/USDT-1699660800000,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
ETH/USDT-1702166400000,1.5,-1.0,0.8549170660167369,0.3072586882197872,0.25,0.25,0.25,0.25,0.8,0.25,1.5,0.8
ETH/USDT-1705032000000,1.5,-1.0,0.1,1.2934248886020518,0.25,0.25,1.8397069006983153,1.8397069006983153,0.8,0.25,1.5,1.8397069006983153
ETH/USDT-1705089600000,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
ETH/USDT-1707422400000,1.5,43.142840296330235,3.278117452492451,3.1353258803154906,3.0673565586574023,13.648492040444584,2.719963729092262,31.36973943293644,3.0673565586574023,3.0673565586574023,1.5,31.36973943293644
ETH/USDT-1752307200000,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
ETH/USDT-1773763200000,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
ETH/USDT-1776110400000,1.5,-1.0,2.150078117252895,2.0762898778918717,1.5828328340469637,1.3713553738435307,1.7169275644516375,1.4456158116802893,1.5828328340469637,1.5828328340469637,1.5,1.4456158116802893
SOL/USDT-1609761600000,1.5,128.4653500106982,1.2276341396218842,1.2188565946199552,0.679525218390308,0.428580719253032,3.7838503007392505,3.1720935773439285,0.8,0.679525218390308,1.5,0.8
SOL/USDT-1610179200000,1.5,-1.0,0.8893458155662969,0.44437320431916905,0.25,0.25,0.25,0.25,0.8,0.25,1.5,0.8
SOL/USDT-1612584000000,1.5,58.7222654481596,-0.3963270411286897,1.5240758864919564,2.082662256305736,1.7267508366421722,2.760388986428103,2.1840845766843393,2.082662256305736,2.082662256305736,-0.3963270411286897,2.1840845766843393
SOL/USDT-1612915200000,1.5,-1.0,1.1390714883712825,0.8279745482330907,0.25,0.25,0.25,0.25,0.8,0.25,1.5,0.8
SOL/USDT-1612972800000,1.5,119.30819039696983,3.095971934263816,2.951463736383956,3.2696405242200233,2.494220163543515,2.8366867081547906,2.5570056967222508,3.2696405242200233,3.2696405242200233,1.5,2.5570056967222508
SOL/USDT-1617033600000,1.5,20.623165011042744,2.391379934505597,2.0435107746857737,1.57686987080859,0.9727950165960539,1.8346128851145882,1.724170842579399,1.57686987080859,1.57686987080859,1.5,1.724170842579399
SOL/USDT-1619164800000,1.5,-1.0,1.8950216174728771,5.319283253004384,5.866268228838095,5.529073899417692,2.306737584806483,4.775169850474615,5.866268228838095,5.866268228838095,1.5,4.775169850474615
SOL/USDT-1619539200000,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
SOL/USDT-1629244800000,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
SOL/USDT-1633363500000,1.5,-1.0,0.8,0.25,0.25,0.25,2.2175152109223357,1.3279752215324896,0.8,0.25,1.5,1.3279752215324896
SOL/USDT-1638547200000,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
SOL/USDT-1667736000000,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
SOL/USDT-1682510400000,-1.0,-1.0,0.1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
SOL/USDT-1685937600000,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
SOL/USDT-1703606400000,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
SOL/USDT-1704744000000,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
SOL/USDT-1710849600000,1.5,-1.0,0.8,0.25,0.25,0.25,0.25,0.25,0.8,0.25,1.5,0.8
SOL/USDT-1711468800000,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
SOL/USDT-1721692800000,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
SOL/USDT-1727697600000,1.5,-1.0,0.8,0.25,0.25,0.25,0.25,0.25,0.8,0.25,1.5,0.8
SOL/USDT-1747080000000,1.5,-1.0,0.8,0.25,0.25,0.25,0.25,0.25,0.8,0.25,1.5,0.8
SOL/USDT-1752321600000,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
SOL/USDT-1756468800000,1.5,-1.0,0.8,0.25,0.25,0.25,1.408564730075336,1.408564730075336,0.8,0.25,1.5,0.8
SOL/USDT-1778587200000,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
