pair,stake_amount,max_stake_amount,amount,open_date,close_date,open_rate,close_rate,fee_open,fee_close,trade_duration,profit_ratio,profit_abs,exit_reason,initial_stop_loss_abs,initial_stop_loss_ratio,stop_loss_abs,stop_loss_ratio,min_rate,max_rate,is_open,enter_tag,leverage,is_short,open_timestamp,close_timestamp,orders,funding_fees,weekday
ETH/USDT:USDT,2256.87,4703.31708,1.75,2023-01-09 00:00:00+00:00,2023-01-09 20:30:00+00:00,1289.64,1321.32,0.0005,0.0005,1230,0.02900089123620319,136.46858728,trailing_stop_loss,12.9,-0.99,1321.32,-0.016753515750297265,1284.81,1345.0,False,,1.0,False,1673222400000,1673296200000,"[{'amount': 3.647, 'safe_price': 1289.64, 'ft_order_side': 'buy', 'order_filled_timestamp': 1673222400000, 'ft_is_entry': True, 'ft_order_tag': '', 'cost': 4705.668738539999}, {'amount': 1.897, 'safe_price': 1335.55, 'ft_order_side': 'sell', 'order_filled_timestamp': 1673280000000, 'ft_is_entry': False, 'ft_order_tag': 'partial_exit', 'cost': 2534.8051191749996}, {'amount': 1.75, 'safe_price': 1321.32, 'ft_order_side': 'sell', 'order_filled_timestamp': 1673296200000, 'ft_is_entry': False, 'ft_order_tag': 'trailing_stop_loss', 'cost': 2313.4661549999996}]",-1.288100003343581,0
SOL/USDT:USDT,6968.79675,6968.79675,326.79,2023-03-05 04:00:00+00:00,2023-03-05 04:00:00+00:00,21.325,21.371,0.0005,0.0005,0,-0.003159751036127677,-22.00865292,trailing_stop_loss,42.436,-0.99,21.364,-0.002174947106303171,21.318,21.377,False,,1.0,True,1677988800000,1677988800000,"[{'amount': 326.79, 'safe_price': 21.325, 'ft_order_side': 'sell', 'order_filled_timestamp': 1677988800000, 'ft_is_entry': True, 'ft_order_tag': '', 'cost': 6972.281148375}, {'amount': 326.79, 'safe_price': 21.371, 'ft_order_side': 'buy', 'order_filled_timestamp': 1677988800000, 'ft_is_entry': False, 'ft_order_tag': 'trailing_stop_loss', 'cost': 6987.321004545}]",0.0,6
BNB/USDT:USDT,9678.602,9678.602,33.34,2023-03-05 08:00:00+00:00,2023-03-05 10:25:00+00:00,290.3,290.89,0.0005,0.0005,145,-0.0030349139433650685,-29.3590373,trailing_stop_loss,577.69,-0.99,290.89,-0.0005099780654547192,289.7,291.07,False,,1.0,True,1678003200000,1678011900000,"[{'amount': 33.34, 'safe_price': 290.3, 'ft_order_side': 'sell', 'order_filled_timestamp': 1678003200000, 'ft_is_entry': True, 'ft_order_tag': '', 'cost': 9683.441301}, {'amount': 33.34, 'safe_price': 290.89, 'ft_order_side': 'buy', 'order_filled_timestamp': 1678011900000, 'ft_is_entry': False, 'ft_order_tag': 'trailing_stop_loss', 'cost': 9703.1217363}]",0.0,6
BTC/USDT:USDT,9643.256,9643.256,0.322,2023-04-12 16:00:00+00:00,2023-04-12 18:45:00+00:00,29948.0,29888.2,0.0005,0.0005,165,-0.0030117601661569056,-29.05769588,trailing_stop_loss,299.5,-0.99,29888.2,-0.0053009676658472005,29830.0,30087.7,False,,1.0,False,1681315200000,1681325100000,"[{'amount': 0.322, 'safe_price': 29948.0, 'ft_order_side': 'buy', 'order_filled_timestamp': 1681315200000, 'ft_is_entry': True, 'ft_order_tag': '', 'cost': 9648.077628}, {'amount': 0.322, 'safe_price': 29888.2, 'ft_order_side': 'sell', 'order_filled_timestamp': 1681325100000, 'ft_is_entry': False, 'ft_order_tag': 'trailing_stop_loss', 'cost': 9628.8124002}]",-0.16846768232,2
SOL/USDT:USDT,1851.76992,1851.76992,127.92,2023-06-15 00:00:00+00:00,2023-06-15 21:05:00+00:00,14.476,14.852,0.0005,0.0005,1265,-0.027051833105385305,-50.06872394,trailing_stop_loss,28.807,-0.99,14.852,-0.0006291996251356347,14.161,15.089,False,,1.0,True,1686787200000,1686863100000,"[{'amount': 127.92, 'safe_price': 14.476, 'ft_order_side': 'sell', 'order_filled_timestamp': 1686787200000, 'ft_is_entry': True, 'ft_order_tag': '', 'cost': 1852.69580496}, {'amount': 127.92, 'safe_price': 14.852, 'ft_order_side': 'buy', 'order_filled_timestamp': 1686863100000, 'ft_is_entry': False, 'ft_order_tag': 'trailing_stop_loss', 'cost': 1900.81777392}]",-0.09498506242066047,3
ETH/USDT:USDT,2499.6438,2499.6438,1.539,2023-08-22 20:00:00+00:00,2023-08-23 06:50:00+00:00,1624.2,1651.19,0.0005,0.0005,650,-0.01765526627771694,-44.10981095,trailing_stop_loss,3232.15,-0.99,1651.19,-0.0024092704588970504,1575.0,1658.37,False,,1.0,True,1692734400000,1692773400000,"[{'amount': 1.539, 'safe_price': 1624.2, 'ft_order_side': 'sell', 'order_filled_timestamp': 1692734400000, 'ft_is_entry': True, 'ft_order_tag': '', 'cost': 2500.8936218999997}, {'amount': 1.539, 'safe_price': 1651.19, 'ft_order_side': 'buy', 'order_filled_timestamp': 1692773400000, 'ft_is_entry': False, 'ft_order_tag': 'trailing_stop_loss', 'cost': 2542.452000705}]",-0.0517883485032,2
BTC/USDT:USDT,4782.5769,9512.8852,0.183,2023-08-23 16:00:00+00:00,2023-08-23 16:00:00+00:00,26134.3,26148.0,0.0005,0.0005,0,-0.0011993392476016787,-11.40347199,trailing_stop_loss,52007.2,-0.99,26135.6,-0.0005257772214121159,26121.9,26149.6,False,,1.0,True,1692806400000,1692806400000,"[{'amount': 0.364, 'safe_price': 26134.3, 'ft_order_side': 'sell', 'order_filled_timestamp': 1692806400000, 'ft_is_entry': True, 'ft_order_tag': '', 'cost': 9517.641642599998}, {'amount': 0.181, 'safe_price': 26134.3, 'ft_order_side': 'buy', 'order_filled_timestamp': 1692806400000, 'ft_is_entry': False, 'ft_order_tag': 'partial_exit', 'cost': 4732.673454149999}, {'amount': 0.183, 'safe_price': 26148.0, 'ft_order_side': 'buy', 'order_filled_timestamp': 1692806400000, 'ft_is_entry': False, 'ft_order_tag': 'trailing_stop_loss', 'cost': 4787.476541999999}]",0.617766764888,2
SOL/USDT:USDT,5755.76746,5755.76746,314.54,2023-09-12 12:00:00+00:00,2023-09-12 13:00:00+00:00,18.299,18.114,0.0005,0.0005,60,0.009119456717265129,52.46322749,trailing_stop_loss,36.415,-0.99,18.114,-0.005714445601955553,18.012,18.394,False,,1.0,True,1694520000000,1694523600000,"[{'amount': 314.54, 'safe_price': 18.299, 'ft_order_side': 'sell', 'order_filled_timestamp': 1694520000000, 'ft_is_entry': True, 'ft_order_tag': '', 'cost': 5758.64534373}, {'amount': 314.54, 'safe_price': 18.114, 'ft_order_side': 'buy', 'order_filled_timestamp': 1694523600000, 'ft_is_entry': False, 'ft_order_tag': 'trailing_stop_loss', 'cost': 5700.42634878}]",0.0,1
SOL/USDT:USDT,6547.5634,6547.5634,357.01,2023-09-13 16:00:00+00:00,2023-09-13 16:15:00+00:00,18.34,18.483,0.0005,0.0005,15,-0.008855304300400754,-57.951676,trailing_stop_loss,36.496,-0.99,18.483,-0.010438156529646636,18.293,18.49,False,,1.0,True,1694620800000,1694621700000,"[{'amount': 357.01, 'safe_price': 18.34, 'ft_order_side': 'sell', 'order_filled_timestamp': 1694620800000, 'ft_is_entry': True, 'ft_order_tag': '', 'cost': 6550.8371817}, {'amount': 357.01, 'safe_price': 18.483, 'ft_order_side': 'buy', 'order_filled_timestamp': 1694621700000, 'ft_is_entry': False, 'ft_order_tag': 'trailing_stop_loss', 'cost': 6601.915137914999}]",-0.32615638245050005,2
BNB/USDT:USDT,8803.4674,8803.4674,42.14,2023-09-25 04:00:00+00:00,2023-09-25 16:10:00+00:00,208.91,209.97,0.0005,0.0005,730,-0.0060795320354160125,-53.4942016,trailing_stop_loss,415.73,-0.99,209.97,-4.765157254860153e-05,207.76,210.31,False,,1.0,True,1695614400000,1695658200000,"[{'amount': 42.14, 'safe_price': 208.91, 'ft_order_side': 'sell', 'order_filled_timestamp': 1695614400000, 'ft_is_entry': True, 'ft_order_tag': '', 'cost': 8807.869133699998}, {'amount': 42.14, 'safe_price': 209.97, 'ft_order_side': 'buy', 'order_filled_timestamp': 1695658200000, 'ft_is_entry': False, 'ft_order_tag': 'trailing_stop_loss', 'cost': 8852.5598679}]",0.0,0
